,char_numbers,digit_numbers,plane_models,plane_ids,departure_dates,departure_times,arrival_dates,arrival_times,stationTos,stationFroms,companys
0,SU,46,Airbus A320,1488,2021-05-08,21:40:00,2021-05-08,23:00:00,Пулково,Шереметьево,Аэрофлот
1,UT,489,Boeing 737-400,1489,2021-05-09,02:35:00,2021-05-09,03:55:00,Пулково,Внуково,ЮТэйр
2,SU,2,Airbus А320,1490,2021-05-09,03:00:00,2021-05-09,04:25:00,Пулково,Шереметьево,Аэрофлот
3,FV,6022,Airbus A319,1491,2021-05-09,03:45:00,2021-05-09,05:05:00,Пулково,Внуково,Россия
4,SU,6,Airbus A321,1492,2021-05-09,03:55:00,2021-05-09,05:25:00,Пулково,Шереметьево,Аэрофлот
5,S7,1005,Airbus A320,1493,2021-05-09,04:30:00,2021-05-09,06:05:00,Пулково,Домодедово,S7 Airlines
6,DP,211,Boeing 737-800,1494,2021-05-09,04:30:00,2021-05-09,05:55:00,Пулково,Внуково,Победа
7,SU,10,Airbus А320,1495,2021-05-09,05:20:00,2021-05-09,06:50:00,Пулково,Шереметьево,Аэрофлот
8,FV,6010,Airbus A319,1496,2021-05-09,05:30:00,2021-05-09,06:50:00,Пулково,Внуково,Россия
9,DP,203,Boeing 737-800,1497,2021-05-09,05:45:00,2021-05-09,07:10:00,Пулково,Внуково,Победа
10,N4,177,Airbus А321,1498,2021-05-09,05:55:00,2021-05-09,07:20:00,Пулково,Шереметьево,Nordwind
11,DP,205,Boeing 737-800,1499,2021-05-09,06:30:00,2021-05-09,07:55:00,Пулково,Внуково,Победа
12,SU,12,Airbus А320,1500,2021-05-09,06:40:00,2021-05-09,08:10:00,Пулково,Шереметьево,Аэрофлот
13,S7,1027,Airbus A320,1501,2021-05-09,06:55:00,2021-05-09,08:30:00,Пулково,Домодедово,S7 Airlines
14,U6,79,Airbus А321,1502,2021-05-09,07:10:00,2021-05-09,08:40:00,Пулково,Домодедово,Уральские авиалинии
15,FV,6018,Airbus А320,1503,2021-05-09,07:35:00,2021-05-09,09:00:00,Пулково,Внуково,Россия
16,UT,369,Boeing 737-800,1504,2021-05-09,07:35:00,2021-05-09,08:55:00,Пулково,Внуково,ЮТэйр
17,SU,14,Airbus А320,1505,2021-05-09,07:40:00,2021-05-09,09:05:00,Пулково,Шереметьево,Аэрофлот
18,DP,201,Boeing 737-800,1506,2021-05-09,08:20:00,2021-05-09,09:45:00,Пулково,Внуково,Победа
19,SU,16,Airbus A320,1507,2021-05-09,08:35:00,2021-05-09,10:00:00,Пулково,Шереметьево,Аэрофлот
20,FV,6028,Airbus A319,1508,2021-05-09,08:35:00,2021-05-09,09:55:00,Пулково,Внуково,Россия
21,SU,42,Airbus А320,1509,2021-05-09,08:50:00,2021-05-09,10:20:00,Пулково,Шереметьево,Аэрофлот
22,SU,18,Airbus A320,1510,2021-05-09,09:25:00,2021-05-09,10:55:00,Пулково,Шереметьево,Аэрофлот
23,S7,1011,Airbus A320,1511,2021-05-09,09:55:00,2021-05-09,11:30:00,Пулково,Домодедово,S7 Airlines
24,SU,20,Airbus А320,1512,2021-05-09,10:30:00,2021-05-09,12:05:00,Пулково,Шереметьево,Аэрофлот
25,U6,59,Airbus А320,1513,2021-05-09,10:35:00,2021-05-09,11:55:00,Пулково,Домодедово,Уральские авиалинии
26,S7,1023,Boeing 737-800,1514,2021-05-09,10:40:00,2021-05-09,12:15:00,Пулково,Домодедово,S7 Airlines
27,FV,6014,Airbus A319,1515,2021-05-09,11:10:00,2021-05-09,12:30:00,Пулково,Внуково,Россия
28,S7,1013,Airbus A320,1516,2021-05-09,11:45:00,2021-05-09,13:20:00,Пулково,Домодедово,S7 Airlines
29,SU,22,Airbus A321,1517,2021-05-09,12:20:00,2021-05-09,13:45:00,Пулково,Шереметьево,Аэрофлот
30,SU,38,Boeing 737-800,1518,2021-05-09,13:25:00,2021-05-09,14:50:00,Пулково,Шереметьево,Аэрофлот
31,FV,6030,Airbus A319,1519,2021-05-09,13:45:00,2021-05-09,15:05:00,Пулково,Внуково,Россия
32,SU,24,Airbus А320,1520,2021-05-09,14:10:00,2021-05-09,15:35:00,Пулково,Шереметьево,Аэрофлот
33,UT,381,Boeing 737-400,1521,2021-05-09,15:00:00,2021-05-09,16:30:00,Пулково,Внуково,ЮТэйр
